episode:61; total step:93; total_reword:-12.123 loss:0.03139; actual_eps:0.97; ave_Q:-3.163923740386963
episode:62; total step:89; total_reword:-15.463 loss:0.02261; actual_eps:0.97; ave_Q:-5.824602127075195
episode:63; total step:250; total_reword:-50.127 loss:0.02649; actual_eps:0.97; ave_Q:-12.998556137084961
episode:64; total step:90; total_reword:-15.306 loss:0.02362; actual_eps:0.97; ave_Q:-4.149482727050781
episode:65; total step:250; total_reword:-51.815 loss:0.02698; actual_eps:0.97; ave_Q:-11.968833923339844
episode:66; total step:83; total_reword:-14.730 loss:0.02747; actual_eps:0.97; ave_Q:-6.963784217834473
episode:67; total step:85; total_reword:-12.265 loss:0.02326; actual_eps:0.97; ave_Q:-4.755229473114014
episode:68; total step:87; total_reword:-13.856 loss:0.02747; actual_eps:0.97; ave_Q:-5.40762996673584
episode:69; total step:87; total_reword:-10.552 loss:0.03197; actual_eps:0.97; ave_Q:-4.750348091125488
episode:70; total step:85; total_reword:-12.152 loss:0.02985; actual_eps:0.97; ave_Q:-4.271294116973877
episode:71; total step:250; total_reword:-27.566 loss:0.02509; actual_eps:0.97; ave_Q:-8.227147102355957
episode:72; total step:250; total_reword:-31.272 loss:0.02298; actual_eps:0.97; ave_Q:-9.848685264587402
episode:73; total step:88; total_reword:-14.267 loss:0.02746; actual_eps:0.97; ave_Q:-5.521636009216309
episode:74; total step:90; total_reword:-10.344 loss:0.02470; actual_eps:0.97; ave_Q:-3.3365607261657715
episode:75; total step:86; total_reword:-15.386 loss:0.02847; actual_eps:0.97; ave_Q:-6.247855186462402
episode:76; total step:85; total_reword:-10.732 loss:0.02754; actual_eps:0.97; ave_Q:-3.631145477294922
episode:77; total step:250; total_reword:-39.266 loss:0.02892; actual_eps:0.97; ave_Q:-11.766605377197266
episode:78; total step:87; total_reword:-15.063 loss:0.02329; actual_eps:0.97; ave_Q:-5.805672645568848
episode:79; total step:90; total_reword:-10.690 loss:0.02910; actual_eps:0.97; ave_Q:-4.2515058517456055
episode:80; total step:87; total_reword:-16.202 loss:0.03240; actual_eps:0.97; ave_Q:-6.407658576965332
episode:81; total step:86; total_reword:-14.098 loss:0.02726; actual_eps:0.97; ave_Q:-5.774388790130615
episode:82; total step:85; total_reword:-12.646 loss:0.02653; actual_eps:0.97; ave_Q:-5.350462436676025
episode:83; total step:88; total_reword:-14.152 loss:0.02622; actual_eps:0.97; ave_Q:-5.847999572753906
episode:84; total step:97; total_reword:-14.929 loss:0.02819; actual_eps:0.97; ave_Q:-4.470726490020752
episode:85; total step:85; total_reword:-11.101 loss:0.02987; actual_eps:0.97; ave_Q:-4.143914699554443
episode:86; total step:81; total_reword:-14.968 loss:0.02509; actual_eps:0.97; ave_Q:-6.365776062011719
episode:87; total step:85; total_reword:-16.291 loss:0.03110; actual_eps:0.97; ave_Q:-6.656120777130127
episode:88; total step:84; total_reword:-15.069 loss:0.02875; actual_eps:0.97; ave_Q:-6.402553081512451
episode:89; total step:87; total_reword:-14.486 loss:0.02747; actual_eps:0.97; ave_Q:-5.4028825759887695
episode:90; total step:89; total_reword:-12.583 loss:0.02333; actual_eps:0.97; ave_Q:-4.998187065124512
episode:91; total step:90; total_reword:-15.516 loss:0.03055; actual_eps:0.97; ave_Q:-5.093476295471191
episode:92; total step:250; total_reword:-76.027 loss:0.02717; actual_eps:0.97; ave_Q:-13.136697769165039
episode:93; total step:250; total_reword:-44.409 loss:0.02819; actual_eps:0.97; ave_Q:-10.284799575805664
episode:94; total step:250; total_reword:-59.954 loss:0.02753; actual_eps:0.97; ave_Q:-12.147780418395996
episode:95; total step:250; total_reword:-88.880 loss:0.02496; actual_eps:0.96; ave_Q:-11.956700325012207
episode:96; total step:250; total_reword:-73.502 loss:0.02203; actual_eps:0.96; ave_Q:-11.721753120422363
episode:97; total step:95; total_reword:-14.444 loss:0.02959; actual_eps:0.96; ave_Q:-4.189640998840332
episode:98; total step:85; total_reword:-11.503 loss:0.02792; actual_eps:0.96; ave_Q:-4.467835426330566
episode:99; total step:88; total_reword:-9.673 loss:0.02826; actual_eps:0.96; ave_Q:-2.0654988288879395
episode:100; total step:250; total_reword:-92.643 loss:0.02808; actual_eps:0.96; ave_Q:-13.615107536315918
