episode:61; total step:250; total_reword:-24.982 loss:0.00678; actual_eps:0.97; ave_Q:-1.2373366355895996
episode:62; total step:250; total_reword:-31.873 loss:0.00833; actual_eps:0.97; ave_Q:-3.204225778579712
episode:63; total step:250; total_reword:-37.192 loss:0.00616; actual_eps:0.97; ave_Q:-3.7808358669281006
episode:64; total step:250; total_reword:-40.172 loss:0.00643; actual_eps:0.97; ave_Q:-5.078972816467285
episode:65; total step:250; total_reword:-48.438 loss:0.00499; actual_eps:0.97; ave_Q:-6.935086727142334
episode:66; total step:250; total_reword:-13.819 loss:0.00728; actual_eps:0.97; ave_Q:-0.25114771723747253
episode:67; total step:250; total_reword:-6.718 loss:0.00702; actual_eps:0.97; ave_Q:0.3264846205711365
episode:68; total step:250; total_reword:-21.021 loss:0.00610; actual_eps:0.97; ave_Q:-2.7723946571350098
episode:69; total step:250; total_reword:-37.471 loss:0.00605; actual_eps:0.97; ave_Q:-3.63189959526062
episode:70; total step:250; total_reword:-44.285 loss:0.00450; actual_eps:0.97; ave_Q:-5.372354507446289
episode:71; total step:250; total_reword:-30.909 loss:0.00648; actual_eps:0.97; ave_Q:-4.175014972686768
episode:72; total step:250; total_reword:7.986 loss:0.00692; actual_eps:0.97; ave_Q:3.7804036140441895
episode:73; total step:250; total_reword:-26.241 loss:0.00619; actual_eps:0.97; ave_Q:-3.5943264961242676
episode:74; total step:250; total_reword:-24.797 loss:0.00722; actual_eps:0.97; ave_Q:-2.6252307891845703
episode:75; total step:250; total_reword:-43.581 loss:0.00705; actual_eps:0.97; ave_Q:-5.7220025062561035
episode:76; total step:250; total_reword:-40.907 loss:0.00585; actual_eps:0.97; ave_Q:-4.849130630493164
episode:77; total step:250; total_reword:-42.447 loss:0.00563; actual_eps:0.97; ave_Q:-5.894170761108398
episode:78; total step:250; total_reword:-42.974 loss:0.00552; actual_eps:0.97; ave_Q:-8.133696556091309
episode:79; total step:250; total_reword:-28.342 loss:0.00645; actual_eps:0.97; ave_Q:-0.5751391053199768
episode:80; total step:250; total_reword:-56.278 loss:0.00543; actual_eps:0.97; ave_Q:-9.046757698059082
episode:81; total step:250; total_reword:-34.667 loss:0.00719; actual_eps:0.97; ave_Q:-5.237637519836426
episode:82; total step:250; total_reword:-25.569 loss:0.00585; actual_eps:0.97; ave_Q:-2.6072475910186768
episode:83; total step:250; total_reword:-24.987 loss:0.00814; actual_eps:0.97; ave_Q:-3.4616127014160156
episode:84; total step:250; total_reword:-42.894 loss:0.00653; actual_eps:0.96; ave_Q:-5.499653339385986
episode:85; total step:142; total_reword:-21.103 loss:0.00584; actual_eps:0.96; ave_Q:-5.349982261657715
episode:86; total step:250; total_reword:-0.581 loss:0.00562; actual_eps:0.96; ave_Q:1.7247729301452637
episode:87; total step:250; total_reword:-0.639 loss:0.00480; actual_eps:0.96; ave_Q:3.1851487159729004
episode:88; total step:250; total_reword:-15.324 loss:0.00693; actual_eps:0.96; ave_Q:0.5743821263313293
episode:89; total step:250; total_reword:-50.003 loss:0.00671; actual_eps:0.96; ave_Q:-7.965085983276367
episode:90; total step:250; total_reword:-32.642 loss:0.00758; actual_eps:0.96; ave_Q:-1.050865888595581
episode:91; total step:250; total_reword:-13.547 loss:0.00613; actual_eps:0.96; ave_Q:-0.8517331480979919
episode:92; total step:250; total_reword:-34.492 loss:0.00585; actual_eps:0.96; ave_Q:-2.0454015731811523
episode:93; total step:250; total_reword:-46.822 loss:0.00669; actual_eps:0.96; ave_Q:-6.6267595291137695
episode:94; total step:250; total_reword:-16.798 loss:0.00721; actual_eps:0.96; ave_Q:-2.516867160797119
episode:95; total step:143; total_reword:-23.185 loss:0.00712; actual_eps:0.96; ave_Q:-5.378212928771973
episode:96; total step:250; total_reword:-31.737 loss:0.00756; actual_eps:0.96; ave_Q:-3.9247031211853027
episode:97; total step:250; total_reword:-32.066 loss:0.00714; actual_eps:0.96; ave_Q:-3.2987189292907715
episode:98; total step:250; total_reword:0.235 loss:0.00639; actual_eps:0.96; ave_Q:3.070065975189209
episode:99; total step:250; total_reword:-32.382 loss:0.00724; actual_eps:0.96; ave_Q:-4.204899787902832
episode:100; total step:250; total_reword:-37.144 loss:0.00760; actual_eps:0.96; ave_Q:-4.121323108673096
episode:101; total step:250; total_reword:-29.619 loss:0.00728; actual_eps:0.96; ave_Q:-2.8239991664886475
episode:102; total step:250; total_reword:-33.851 loss:0.00801; actual_eps:0.96; ave_Q:-2.412338972091675
episode:103; total step:141; total_reword:-23.000 loss:0.00733; actual_eps:0.96; ave_Q:-6.274835109710693
episode:104; total step:250; total_reword:-10.236 loss:0.00877; actual_eps:0.96; ave_Q:-0.29862353205680847
episode:105; total step:250; total_reword:-33.223 loss:0.00648; actual_eps:0.96; ave_Q:-3.924740791320801
episode:106; total step:250; total_reword:-29.741 loss:0.00898; actual_eps:0.96; ave_Q:-3.7135121822357178
episode:107; total step:250; total_reword:-51.111 loss:0.00719; actual_eps:0.96; ave_Q:-6.0654988288879395
episode:108; total step:250; total_reword:-42.949 loss:0.00692; actual_eps:0.96; ave_Q:-4.190747261047363
episode:109; total step:250; total_reword:-48.422 loss:0.00738; actual_eps:0.96; ave_Q:-7.797097682952881
